Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Medicine
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,"Antihistamines (e.g., Cetirizine); Used to relieve allergic symptoms like itching or swelling. Take as directed by a doctor after stopping the offending drug."
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"Artemisinin-based combination therapies (ACTs); Used to treat malaria infections. Administered under medical supervision, typically for 3 days."
Allergy,apply calamine,cover area with bandage,,use ice to compress itching,"Antihistamines (e.g., Loratadine); Reduces itching and allergic reactions. Take orally as prescribed, usually once daily."
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Levothyroxine; Replaces thyroid hormone. Taken daily on an empty stomach, as prescribed by a doctor."
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Topical Corticosteroids (e.g., Hydrocortisone); Reduces inflammation and itching. Apply to affected areas as directed."
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Proton Pump Inhibitors (e.g., Omeprazole); Reduces stomach acid. Take before meals as prescribed, typically daily."
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,"Ursodeoxycholic Acid; Improves bile flow. Taken orally as prescribed, often long-term."
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"Supportive care (no specific antiviral); Hydration and rest aid recovery. Follow doctor’s advice for symptom management."
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,"Acetaminophen or NSAIDs (e.g., Ibuprofen); Relieves pain and inflammation. Take as needed, per doctor’s guidance."
(vertigo) Paroymsal Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,"Meclizine; Reduces dizziness. Take as prescribed, typically for short-term symptom relief."
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,"Glucose tablets or gel; Quickly raises blood sugar. Use during low blood sugar episodes, as directed."
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Benzoyl Peroxide; Reduces acne-causing bacteria. Apply topically to affected areas, usually daily."
Diabetes,have balanced diet,exercise,consult doctor,follow up,"Metformin; Controls blood sugar. Taken orally, typically 1-2 times daily with meals, as prescribed."
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"Topical Antibiotics (e.g., Mupirocin); Treats bacterial infection. Apply to affected area 2-3 times daily."
Hypertension,meditation,salt baths,reduce stress,get proper sleep,"ACE Inhibitors (e.g., Lisinopril); Lowers blood pressure. Taken daily as prescribed by a doctor."
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"Proton Pump Inhibitors (e.g., Pantoprazole); Reduces stomach acid. Taken before meals, as prescribed."
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"Hydrocortisone Cream; Reduces swelling and discomfort. Apply topically as directed, usually short-term."
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"Over-the-counter Cold Relief (e.g., DayQuil); Relieves symptoms like congestion. Follow package instructions."
Chicken pox,use neem in bathing,consume neem leaves,take vaccine,avoid public places,"Antiviral (e.g., Acyclovir); Reduces severity if started early. Prescribed by a doctor, taken orally."
